Date,Close,High,Low,Open,Volume
3/13/1986,0.059597596526145935,0.062258652,0.05427671,0.05427671,1031788800
3/14/1986,0.061725955456495285,0.062790745,0.059597601,0.059597601,308160000
3/17/1986,0.062790751,0.06332284,0.061725962033042016,0.061725962033042016,133171200
3/18/1986,0.061193876,0.063322843,0.060661787,0.062790754,67766400
3/19/1986,0.060129706,0.061725972,0.059597617,0.061193883,47894400
3/20/1986,0.058533426374197006,0.060129692400799635,0.058001338,0.060129692400799635,58435200
3/21/1986,0.056937177,0.059597621,0.055872999,0.058533443220219854,59990400
3/24/1986,0.055340901017189026,0.056937167,0.054808812,0.056937167,65289600
3/25/1986,0.056405067443847656,0.056405067443847656,0.054808802,0.055340890172551636,32083200
3/26/1986,0.058001343,0.058533432,0.055872988,0.056405076983938665,22752000
3/27/1986,0.059065521,0.059065521,0.058001343309386263,0.058001343309386263,16848000
3/31/1986,0.058533426374197006,0.059065515,0.057469249,0.059065515,12873600
4/1/1986,0.058001343,0.058533432,0.058001343,0.058533432,11088000
4/2/1986,0.058533426374197006,0.059597604,0.058001338,0.058001338,27014400
4/3/1986,0.059065521,0.060661787,0.059065521,0.059065521,23040000
4/4/1986,0.059065521,0.059597609,0.059065521,0.059065521,26582400
4/7/1986,0.058001343,0.059597609,0.056937165709581676,0.059065520612153706,16560000
4/8/1986,0.058533426374197006,0.059597604,0.058001338,0.058001338,10252800
4/9/1986,0.059597596526145935,0.060129685,0.058533419,0.058533419,12153600
4/10/1986,0.060129706,0.060661795,0.058533439,0.059597617,13881600
4/11/1986,0.061193876,0.062258665438600626,0.060661787,0.060661787,17222400
4/14/1986,0.061725955456495285,0.062258656,0.061193867,0.061193867,12153600
4/15/1986,0.061725955456495285,0.061725955456495285,0.059597601,0.061725955456495285,9302400
4/16/1986,0.063854918,0.064387006,0.061193863,0.061725951,31910400
4/17/1986,0.064387031,0.064387031,0.063854942,0.063854942,22003200
4/18/1986,0.062258653342723846,0.064387008,0.061725952705663105,0.064387008,21628800
4/21/1986,0.062258653342723846,0.062790742,0.060661775,0.062258653342723846,22924800
4/22/1986,0.061193876,0.062258665438600626,0.061193875968456275,0.062258665438600626,15552000
4/23/1986,0.061459917575120926,0.061725964221484034,0.060661787,0.061193875496003816,15609600
4/24/1986,0.067579597,0.068643775,0.061193916263815255,0.061459959,62352000
4/25/1986,0.071836852,0.074763341,0.06811162,0.06811162,85795200
4/28/1986,0.072368957,0.072901046,0.071304168,0.071836868,28886400
4/29/1986,0.070239998,0.072368965,0.06970791,0.072368965,30326400
4/30/1986,0.068643726,0.070772081,0.06704746,0.070239993,30902400
5/1/1986,0.067579597,0.068643775,0.066515419,0.068643775,54345600
5/2/1986,0.067579597,0.068643775,0.067047508,0.067579597,20246400
5/5/1986,0.067047469,0.067579558,0.067047469,0.067579558,3254400
5/6/1986,0.067579597,0.068643775,0.067579597,0.067579597,9734400
5/7/1986,0.067579597,0.068111686,0.066515419,0.067579597,5155200
5/8/1986,0.068111643,0.068111643,0.067047466,0.067579554,3542400
